PID,CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,KA_name,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,mobile_ratio,fix_ratio
123738508,Bronze,SOHO,6000.0,VM,3,1.0,0.0,4,49.17,0.0,49.17,16.39,0,1.0,0.0
123051139,Bronze,SOHO,6000.0,DI,5,1.0,0.0,6,49.17,0.0,49.17,9.83,0,1.0,0.0
123612865,Bronze,SOHO,6000.0,DI,1,1.0,0.0,2,49.17,0.0,49.17,49.17,0,1.0,0.0
115308485,Bronze,SOHO,4023.0,AD,2,0.0,1.0,3,49.17,0.0,49.17,24.59,0,1.0,0.0
112596114,Bronze,SOHO,4419.0,MT,1,3.0,0.0,4,49.33,0.0,49.33,49.33,0,1.0,0.0
115167274,Bronze,SOHO,4015.0,VT,5,1.0,0.0,6,49.33,0.0,49.33,9.87,0,1.0,0.0
115336933,Bronze,SOHO,4225.0,VT,4,3.0,0.0,7,49.33,0.0,49.33,12.33,0,1.0,0.0
115766358,Bronze,SOHO,4000.0,VT,5,1.0,0.0,6,49.33,0.0,49.33,9.87,0,1.0,0.0
123108737,Bronze,SOHO,6000.0,DI,4,0.0,0.0,4,49.33,0.0,49.33,12.33,0,1.0,0.0
112619310,Bronze,SOHO,4400.0,MT,4,0.0,0.0,4,49.33,0.0,49.33,12.33,0,1.0,0.0
115068734,Bronze,SOHO,4023.0,AD,6,0.0,0.0,6,49.33,0.0,49.33,8.22,0,1.0,0.0
830192062,Bronze,SOHO,4700.0,VU,2,2.0,0.0,4,49.5,0.0,49.5,24.75,1,1.0,0.0
833172435,Bronze,SOHO,6000.0,VM,4,1.0,0.0,5,49.5,0.0,49.5,12.38,0,1.0,0.0
833180460,Bronze,SOHO,6000.0,VM,5,0.0,0.0,5,49.5,0.0,49.5,9.9,0,1.0,0.0
115058940,Bronze,SOHO,4000.0,AD,3,2.0,0.0,5,49.5,0.0,49.5,16.5,0,1.0,0.0
40174763,Bronze,SOHO,4004.0,VT,4,4.0,0.0,8,49.67,0.0,49.67,12.42,0,1.0,0.0
123631627,Bronze,SOHO,6004.0,VM,4,0.0,0.0,4,49.67,0.0,49.67,12.42,0,1.0,0.0
40718802,Bronze,SOHO,6200.0,DI,6,1.0,0.0,7,49.67,0.0,49.67,8.28,0,1.0,0.0
123583043,Bronze,SOHO,6000.0,DI,4,0.0,0.0,4,49.67,0.0,49.67,12.42,0,1.0,0.0
